科室,标题,发布日期,详情链接,附件名,附件下载次数,附件链接
【教学运行】,关于2022年清明节放假课程调整的通知,2022-03-29,https://jwch.fzu.edu.cn/info/1036/11914.htm,,,
【实践科】,关于举办福州大学第十六届本科生数学建模竞赛的通知,2022-03-29,https://jwch.fzu.edu.cn/info/1039/11913.htm,,,
【质量办】,关于举办福州大学第三十二场“教学有道”研讨活动的通知,2022-03-24,https://jwch.fzu.edu.cn/info/1040/11905.htm,,,
【教学运行】,关于做好2022-2023学年第一学期排课准备工作的通知,2022-03-23,https://jwch.fzu.edu.cn/info/1036/11904.htm,,,
【教研教改】,福州大学关于开展课程思政示范项目建设工作的通知,2022-03-21,https://jwch.fzu.edu.cn/info/1037/11899.htm,['课程思政示范课程、教学名师和团队申报书.docx'],['1303'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7838154']
【实践科】,关于举办福州大学第二届大学生先进成图技术与产品信息建模创新大赛的通知,2022-03-21,https://jwch.fzu.edu.cn/info/1039/11898.htm,['附件2：福州大学第二届大学生先进成图技术与产品信息建模创新大赛报名表.xls'],['1214'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7838076']
【实践科】,关于2022届本科毕业生创新创业实践与素质拓展学分认定工作的通知,2022-03-21,https://jwch.fzu.edu.cn/info/1039/11897.htm,['学分认定申请表格.zip'],['2883'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7838075']
【综合科】,福州大学关于全面开展线上教育教学的倡议书,2022-03-20,https://jwch.fzu.edu.cn/info/1035/11896.htm,,,
【教学运行】,关于全面启动线上教学的紧急通知,2022-03-20,https://jwch.fzu.edu.cn/info/1036/11895.htm,,,
【实践科】,关于举办2022年福州大学第二十二届数学竞赛暨第十四届全国大学生数学竞赛选拔赛的通知,2022-03-17,https://jwch.fzu.edu.cn/info/1039/11893.htm,,,
【质量办】,关于开展2021年第十九期新上岗教师课堂授课达标考核的通知,2022-03-17,https://jwch.fzu.edu.cn/info/1040/11891.htm,"['附件1 2021年福州大学新上岗教师达标培训班报名汇总表.xls', '附件2 第十九期新上岗教师课堂授课达标考核情况汇总表.docx']","['1521', '1166']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7837792', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7837793']"
【实践科】,关于进一步加强疫情防控期间本科生实习要求的通知,2022-03-14,https://jwch.fzu.edu.cn/info/1039/11888.htm,,,
【计划科】,关于通识选修课《爱课程：美化嗓音 轻松讲课》开课的友情提示 ,2022-03-14,https://jwch.fzu.edu.cn/info/1038/11887.htm,,,
【教学运行】,关于疫情防控阶段本科日常教学工作的通知,2022-03-13,https://jwch.fzu.edu.cn/info/1036/11886.htm,,,
【质量办】,关于做好2021年课程考核专项检查整改工作的通知,2022-03-10,https://jwch.fzu.edu.cn/info/1040/11884.htm,['附件：福州大学课程考核专项检查整改情况汇总表.docx'],['1346'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7836389']
【教学运行】,关于2021-2022学年第二学期重修选课的通知,2022-03-08,https://jwch.fzu.edu.cn/info/1036/11883.htm,,,
【实践科】,关于举办福州大学第六届网络信息安全竞赛的通知,2022-03-04,https://jwch.fzu.edu.cn/info/1039/11877.htm,,,
【计划科】,关于公布2021-2022学年第二学期通选课取消开课名单的通知,2022-02-28,https://jwch.fzu.edu.cn/info/1038/11876.htm,,,
【实践科】,关于举办福州大学第十三届企业经营模拟沙盘对抗赛的通知,2022-02-24,https://jwch.fzu.edu.cn/info/1039/11872.htm,,,
【实践科】,关于对2021年学院教学有关数据进行统计的通知,2022-02-24,https://jwch.fzu.edu.cn/info/1039/11871.htm,"['附件1福州大学本科教学业绩奖励指标解释.zip', '附件2：2021年学院主办或承办全国性教学类会议情况表.xlsx']","['1551', '1422']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7834277', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7834275']"
【教学运行】,关于2021-2022学年第二学期《工程制图E》课程期末考试安排的通知,2022-04-26,https://jwch.fzu.edu.cn/info/1036/11956.htm,['2102 制图E期末考试5.8上午.xlsx'],['1109'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7845041']
【质量办】,关于举办福州大学第三十三场“教学有道”研讨活动的通知,2022-04-22,https://jwch.fzu.edu.cn/info/1040/11954.htm,,,
【教研教改】,关于组织申报教育部2022年产学合作协同育人项目的通知,2022-04-21,https://jwch.fzu.edu.cn/info/1037/11950.htm,,,
【教学运行】,关于2022年“五一”劳动节放假课程调整的通知,2022-04-21,https://jwch.fzu.edu.cn/info/1036/11946.htm,,,
【质量办】,关于期中党政领导集中听课的通知,2022-04-21,https://jwch.fzu.edu.cn/info/1040/11941.htm,"['福州大学课堂教学质量评估表.doc', '第十周课表.xlsx']","['1190', '1397']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7843851', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7843852']"
【实践科】,关于近期常态化疫情防控期间本科生实习要求的通知,2022-04-19,https://jwch.fzu.edu.cn/info/1039/11940.htm,,,
【实践科】,关于组织申报2022年大学生劳动教育实践基地的通知,2022-04-19,https://jwch.fzu.edu.cn/info/1039/11939.htm,"['附件：福州大学大学生劳动教育实践基地申报书.docx', '福州大学大学生劳动教育实践基地申报汇总表.docx']","['1547', '1541']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7843300', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7843790']"
【实践科】,关于举办福州大学第十一届大学生软件设计与服务外包创新创业竞赛的通知,2022-04-18,https://jwch.fzu.edu.cn/info/1039/11938.htm,,,
【实践科】,关于举办福州大学第十九届程序设计竞赛暨校ACM/ICPC集训队选拔赛的通知,2022-04-15,https://jwch.fzu.edu.cn/info/1039/11937.htm,,,
【实践科】,关于举办福州大学第八届大学生用户体验设计大赛的通知,2022-04-13,https://jwch.fzu.edu.cn/info/1039/11936.htm,['附件2：福州大学第八届大学生用户体验设计大赛报名表.doc'],['1477'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7842341']
【实践科】,关于公布第二十六、二十七期本科生科研训练计划项目结题成绩的通知,2022-04-12,https://jwch.fzu.edu.cn/info/1039/11934.htm,"['附件2：福州大学第二十七期本科生科研训练计划项目结题成绩汇总表.xls', '附件1：福州大学第二十六期本科生科研训练计划项目结题成绩汇总表.docx']","['3159', '2873']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7842075', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7842076']"
【实践科】,关于公布省级以上大学生创新创业训练计划项目结题成绩的通知,2022-04-12,https://jwch.fzu.edu.cn/info/1039/11933.htm,"['附件1：福州大学2020年省级以上大学生创新创业训练计划项目结题成绩汇总表.docx', '附件2：福州大学2021年国家级、省级大学生创新创业训练计划项目结题成绩汇总表.xls']","['2054', '2114']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7842073', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7842074']"
【教研教改】,福州大学关于开展2021-2022学年本科教学优秀奖评选工作的通知,2022-04-11,https://jwch.fzu.edu.cn/info/1037/11932.htm,"['附件1：福州大学本科教学优秀奖评选办法.doc', '附件2：福州大学2021-2022学年教学优秀奖申报简表.doc', '附件3：福州大学2021-2022学年教学优秀奖申报汇总表.xls', '附件4：各教学单位2021-2022学年教学优秀奖二等奖和三等奖名额分配表.docx']","['1612', '1362', '1536', '1507']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7841980', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7841981', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7841982', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7841983']"
【教学运行】,关于从4月11日起恢复本科线下教学活动相关要求的通知,2022-04-08,https://jwch.fzu.edu.cn/info/1036/11925.htm,,,
【质量办】,诚邀2017届毕业生参与培养目标达成和职业发展问卷调研,2022-04-06,https://jwch.fzu.edu.cn/info/1040/11924.htm,,,
【实践科】,关于组织开展2022（第15届）中国大学生计算机设计大赛校内预选赛的通知,2022-04-04,https://jwch.fzu.edu.cn/info/1039/11923.htm,"['附件1 2022年（第15届）大赛内容分类、参赛要求、承办院校与决赛时间.pdf', '附件2 2022年（第15届）中国大学生计算机设计大赛——校内选拔赛报名表.xlsx']","['1835', '1268']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7841137', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7841136']"
【实践科】,关于举办福州大学第十二届大学生节能减排社会实践与科技竞赛的通知,2022-04-04,https://jwch.fzu.edu.cn/info/1039/11922.htm,['福州大学第十二届大学生节能减排社会实践与科技竞赛附件2-5.docx'],['1701'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7841135']
【实践科】,关于举办福州大学第八届材料创新、设计及应用大赛的通知,2022-04-04,https://jwch.fzu.edu.cn/info/1039/11921.htm,['福州大学第八届大学生材料创新、设计及应用竞赛附件2-5.docx'],['1341'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7841126']
【实践科】,关于举办福建省首届大学生材料综合竞赛的通知,2022-03-30,https://jwch.fzu.edu.cn/info/1039/11916.htm,"['附件1报名表.docx', '附件2 参赛作品（科技作品类）说明书格式规范.docx']","['1518', '1471']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7839733', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7839734']"
【实践科】,关于做好第二十八期本科生科研训练计划项目立项工作的通知,2022-03-29,https://jwch.fzu.edu.cn/info/1039/11915.htm,['附件：福州大学第二十八期本科生科研训练项目选题来源情况一览表（2022年）.xls'],['4673'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7839643']
【实践科】,关于2022届本科毕业设计（论文）抽检送审工作的补充规定,2022-05-17,https://jwch.fzu.edu.cn/info/1039/12012.htm,,,
【教学运行】,关于2021-2022学年第二学期计算机语言课程期末考试安排的通知,2022-05-16,https://jwch.fzu.edu.cn/info/1036/12008.htm,['2102 计算机语言期末考试5.29.xlsx'],['1254'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7850170']
【教学运行】,关于2021-2022学年第二学期《线性代数》、《线性代数与解析几何》课期末考试安排的通知,2022-05-16,https://jwch.fzu.edu.cn/info/1036/12007.htm,['2102 线代期末考试 5.28.xlsx'],['1409'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7850169']
【教学运行】,关于2021-2022学年第二学期《概率论与数理统计》课程期末考试安排的通知,2022-05-16,https://jwch.fzu.edu.cn/info/1036/12006.htm,['2102 概率期末考试 5.29.xlsx'],['1427'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7850168']
【教学运行】,关于2023届预计毕业生核对电子注册学历信息的通知,2022-05-16,https://jwch.fzu.edu.cn/info/1036/12005.htm,,,
【质量办】,关于举办福州大学第三十四场“教学有道”研讨活动的通知,2022-05-11,https://jwch.fzu.edu.cn/info/1040/12001.htm,,,
【教研教改】,福州大学关于开展第六届远志创业实验班招生工作的通知,2022-05-11,https://jwch.fzu.edu.cn/info/1037/12000.htm,"['附件1：福州大学第六届远志创业实验班招生简章.docx', '附件2：远志创业实验班修读申请表.docx']","['3204', '2022']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7849547', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7849548']"
【综合科】,关于2021-2022学年第二学期本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,2022-05-10,https://jwch.fzu.edu.cn/info/1035/11997.htm,,,
【计划科】,2021-2022学年第二学期在校学生申请辅修专业的通知,2022-05-09,https://jwch.fzu.edu.cn/info/1038/11996.htm,,,
【质量办】,关于开展2022年工程教育认证线上培训的通知,2022-05-09,https://jwch.fzu.edu.cn/info/1040/11994.htm,,,
【质量办】,关于开展2022届本科毕业生在校学习体验调研的通知,2022-05-06,https://jwch.fzu.edu.cn/info/1040/11992.htm,,,
【教学运行】,关于2022届预计毕业生补拍电子注册学历照片的通知,2022-05-06,https://jwch.fzu.edu.cn/info/1036/11991.htm,,,
【实践科】,关于做好第二十六期、二十七期本科生科研训练计划项目结题工作的通知,2022-05-05,https://jwch.fzu.edu.cn/info/1039/11988.htm,['srtp项目结题附件.zip'],['2332'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7847988']
【实践科】,关于做好国家、省级大学生创新创业训练计划项目结题工作的通知,2022-05-05,https://jwch.fzu.edu.cn/info/1039/11987.htm,['国创省创结题附件.zip'],['1588'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7847987']
【实践科】,关于开展大学生劳动教育优秀案例征集评选活动的通知,2022-05-04,https://jwch.fzu.edu.cn/info/1039/11986.htm,,,
【教研教改】,关于开展福州大学2021年一流本科课程建设项目进度检查的通知,2022-05-04,https://jwch.fzu.edu.cn/info/1037/11985.htm,"['附件3：福州大学一流本科课程建设项目成果简述表.docx', '附件2：福州大学一流本科课程建设项目名单.doc', '附件1：福州大学线上线下混合式一流课程（爱课程SPOC）建设项目名单.doc']","['1745', '1864', '1637']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7847708', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7847709', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7847710']"
【实践科】,关于对2022届本科毕业设计（论文）进行查重检测的通知,2022-04-29,https://jwch.fzu.edu.cn/info/1039/11977.htm,,,
【实践科】,关于开展2022届本科毕业设计（论文）抽检送审工作的通知,2022-04-28,https://jwch.fzu.edu.cn/info/1039/11970.htm,"['附件1：福建省本科毕业论文（设计）抽检评议要素（试行）.docx', '附件2：2022届福州大学本科毕业设计（论文）抽检情况汇总表.xlsx']","['3227', '3193']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7846644', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7846645']"
【实践科】,关于2022年全国大学生统计建模大赛参赛报名的通知,2022-04-28,https://jwch.fzu.edu.cn/info/1039/11969.htm,"['附件1：2022年全国大学生统计建模竞赛通知.pdf', '附件2：第八届全国大学生统计建模竞赛资料.pdf']","['3397', '11847']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7846374', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7846373']"
【计划科】,关于组织申报2022-2023学年第一学期通识教育选修课的通知,2022-04-26,https://jwch.fzu.edu.cn/info/1038/11957.htm,,,
【质量办】,福州大学关于印发《福州大学本科专业预警及动态调整管理实施办法（试行）》的通知,2022-06-08,https://jwch.fzu.edu.cn/info/1040/12061.htm,,,
【教研教改】,关于举办福州大学第三十五场“教学有道”研讨活动暨虚拟教研室建设推进会的通知,2022-06-08,https://jwch.fzu.edu.cn/info/1037/12056.htm,,,
【实践科】,关于2022届本科生毕业设计（论文）推优工作的通知,2022-06-06,https://jwch.fzu.edu.cn/info/1039/12055.htm,,,
【教材中心】,关于开展福州大学2022年本科规划教材立项工作的通知,2022-06-02,https://jwch.fzu.edu.cn/info/1042/12052.htm,"['附件1：福州大学2022年本科规划教材立项申请书.docx', '附件2：福州大学2022年本科规划教材立项汇总表.docx']","['1759', '1607']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7856077', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7853919']"
【计划科】,关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2021-2022学年第二学期第十六周）,2022-06-02,https://jwch.fzu.edu.cn/info/1038/12050.htm,,,
【教研教改】,福州大学关于公布2020级数理金融实验班学生主辅修专业及导师名单的通知,2022-05-31,https://jwch.fzu.edu.cn/info/1037/12049.htm,,,
【质量办】,关于开展2022年度教师本科教学综合测评工作的通知,2022-05-31,https://jwch.fzu.edu.cn/info/1040/12048.htm,['附件.docx'],['1730'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7853507']
【教学运行】,关于2022年端午节放假课程调整的通知,2022-05-31,https://jwch.fzu.edu.cn/info/1036/12047.htm,,,
【教学运行】,关于2021-2022学年第二学期《马克思主义基本原理》、《毛泽东思想和中国特色社会主义理论体系概论（下）》、《中国近现代史纲要》、《思想道德修养与法律基础》课程期末考试安排的通知,2022-05-31,https://jwch.fzu.edu.cn/info/1036/12046.htm,"['2102 毛泽东思想和中国特色社会主义理论体系概论（下） 期末考试（随堂考）.xlsx', '2102 思想道德修养与法律基础 期末考试（随堂考）.xlsx', '2102 中国近现代史纲要 期末考试（随堂考）.xlsx', '2102马克思主义基本原理 期末考试（随堂考）.xlsx']","['1613', '1571', '1541', '1453']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7853408', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7853410', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7853409', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7853407']"
【教研教改】,福州大学关于公布2020级数理综合班专业分流学生名单及学科导师名单的通知,2022-05-31,https://jwch.fzu.edu.cn/info/1037/12044.htm,,,
【教学运行】,关于2021-2022学年第二学期《高等数学A（中）》、《高等数学C（下）》课程期末考试安排的通知,2022-05-30,https://jwch.fzu.edu.cn/info/1036/12043.htm,['2102 高数A、C期末考试6.12下午.xlsx'],['1420'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7853287']
【教学运行】,关于2021-2022学年第二学期《高等数学B（下）》课程期末考试安排的通知,2022-05-30,https://jwch.fzu.edu.cn/info/1036/12042.htm,['2102 高数B期末考试 6.12上午.xlsx'],['1692'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7853290']
【计划科】,关于报名参加2021-2022学年第二学期国情教育网络培训的通知,2022-05-30,https://jwch.fzu.edu.cn/info/1038/12041.htm,,,
【计划科】,关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2021-2022学年第二学期第十五周）,2022-05-26,https://jwch.fzu.edu.cn/info/1038/12031.htm,,,
【实践科】,关于公布2022年本科生创新创业实践与素质拓展学分认定结果的通知,2022-05-24,https://jwch.fzu.edu.cn/info/1039/12022.htm,['福州大学2022年本科生创新创业实践与素质拓展学分认定汇总表.doc'],['2874'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7853657']
【综合科】,关于2021学年再次启用火车票自助取票机的通知,2022-05-23,https://jwch.fzu.edu.cn/info/1035/12021.htm,,,
【实践科】,关于公布第十三届企业经营模拟沙盘对抗赛获奖名单的通知,2022-05-23,https://jwch.fzu.edu.cn/info/1039/12019.htm,,,
【实践科】,关于公布第二届大学生先进成图技术与产品信息建模创新大赛获奖名单的通知,2022-05-23,https://jwch.fzu.edu.cn/info/1039/12018.htm,,,
【教材中心】,关于做好2022-2023学年第一学期教材选用及征订工作的通知,2022-05-23,https://jwch.fzu.edu.cn/info/1042/12016.htm,"['附件1：福州大学教材选用与供应管理办法（福大教【2020】22号）.docx', '附件2：教育部办公厅关于加强高等学校使用外国教材管理的通知.docx', '附件3：已出版马克思主义理论研究和建设工程重点教材目录（截至2022年4月，共计110种）.xlsx', '附件4：全国大中专教学用书目录(2022秋).xlsx']","['1825', '1323', '1373', '1917']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7851522', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7851521', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7851523', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7851524']"
【计划科】,关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2021-2022学年第二学期第十四周）,2022-05-20,https://jwch.fzu.edu.cn/info/1038/12014.htm,,,
【教学运行】,关于2022届本科毕业生第三批毕业数据报送等相关工作的通知,2022-07-08,https://jwch.fzu.edu.cn/info/1036/12100.htm,,,
【综合科】,关于组织参加2022年全省本科教育管理人员视频培训班的通知,2022-07-05,https://jwch.fzu.edu.cn/info/1035/12097.htm,['闽教便函〔2022〕891号福建省教育厅办公室关于举办2022年省本科教育管理人员培训班的通知.pdf'],['1700'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11357009']
【教学运行】,关于2022-2023学年第一学期辅修专业选课的通知,2022-07-04,https://jwch.fzu.edu.cn/info/1036/12096.htm,,,
【质量办】,关于进一步加强校院两级本科教学督导工作的若干要求,2022-07-04,https://jwch.fzu.edu.cn/info/1040/12095.htm,['附件（学院本科教学督导组名单）.docx'],['1591'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11356598']
【综合科】,关于召开2021-2022学年春季学期期末本科教学工作会议的通知,2022-07-01,https://jwch.fzu.edu.cn/info/1035/12094.htm,,,
【教学运行】,关于做好期末复习考试及下学期开学等工作的通知,2022-06-30,https://jwch.fzu.edu.cn/info/1036/12092.htm,,,
【计划科】,关于核对2022-2023学年第一学期通识教育选修课开课信息的有关通知,2022-06-29,https://jwch.fzu.edu.cn/info/1038/12091.htm,,,
【教研教改】,福州大学关于公布第六届远志创业实验班学生名单的通知,2022-06-24,https://jwch.fzu.edu.cn/info/1037/12088.htm,,,
【实践科】,关于公布2022年大学生劳动教育实践基地立项项目的通知,2022-06-23,https://jwch.fzu.edu.cn/info/1039/12086.htm,['附件：福州大学2022年大学生劳动教育实践基地立项建设名单.doc'],['2009'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11355160']
【教研教改】,关于举办福州大学一流课程建设培训会的通知,2022-06-23,https://jwch.fzu.edu.cn/info/1037/12085.htm,,,
【计划科】,关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2021-2022学年第二学期第十九周）,2022-06-23,https://jwch.fzu.edu.cn/info/1038/12082.htm,,,
【教学运行】,关于2022-2023学年第一学期本科生学期选课的通知,2022-06-17,https://jwch.fzu.edu.cn/info/1036/12078.htm,,,
【教学运行】,关于2021-2022学年第二学期《大学物理A（上）、B（上）、C》课程期末考试安排的通知,2022-06-17,https://jwch.fzu.edu.cn/info/1036/12076.htm,['2102 大学物理期末考试 7.7上午.xlsx'],['1911'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7856589']
【教学运行】,关于2021-2022学年第二学期《工程制图A（下）、C（下）、D、F》课程期末考试安排的通知,2022-06-17,https://jwch.fzu.edu.cn/info/1036/12074.htm,['2102 制图A、C、D、F期末考试 7.4上午.xlsx'],['1617'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7856581']
【教学运行】,关于2021-2022学年第二学期大学英语拓展课程期末考试安排的通知,2022-06-17,https://jwch.fzu.edu.cn/info/1036/12073.htm,['2102 英语拓展期末考试 7.2上午、下午.xlsx'],['1612'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7856574']
【计划科】,关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2021-2022学年第二学期第十八周）,2022-06-16,https://jwch.fzu.edu.cn/info/1038/12069.htm,,,
【教学运行】,关于2021-2022学年第二学期《大学英语（二）、（三）、（四）》课程期末考试安排的通知,2022-06-15,https://jwch.fzu.edu.cn/info/1036/12068.htm,"['2102 英语二、四 期末考试 6.26.xlsx', '2102 英语三 期末考试 6.26.xlsx']","['1762', '2047']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7855982', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7855981']"
【计划科】,关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2021-2022学年第二学期第十七周）,2022-06-09,https://jwch.fzu.edu.cn/info/1038/12064.htm,,,
【实践科】,关于公布第二十八期本科生科研训练计划立项项目的通知,2022-06-09,https://jwch.fzu.edu.cn/info/1039/12063.htm,"['附件2：福州大学第二十八期本科生科研训练计划立项项目汇总表.xlsx', '附件1：福州大学2022年省级及以上大学生创新创业训练计划立项项目汇总表.xlsx']","['7526', '5581']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7855093', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7855094']"
【实践科】,关于公布福州大学第八届桥梁设计大赛获奖名单的通知,2022-06-09,https://jwch.fzu.edu.cn/info/1039/12062.htm,,,
【质量办】,关于开学第一周集中听课的通知,2022-08-28,https://jwch.fzu.edu.cn/info/1040/12145.htm,"['附件1：福州大学课堂教学质量评估表（理论课）.doc', '附件2：2022-2023学年第一学期第一周课表.xlsx']","['1706', '2044']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11408178', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11408179']"
【综合科】,关于2022-2023学年第一学期本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,2022-08-28,https://jwch.fzu.edu.cn/info/1035/12144.htm,,,
【综合科】,关于2022级福州大学本科生学生证信息采集的通知,2022-08-28,https://jwch.fzu.edu.cn/info/1035/12143.htm,,,
【质量办】,关于开展2023年工程教育专业认证申请工作的通知,2022-08-28,https://jwch.fzu.edu.cn/info/1040/12142.htm,"['附件3：工程教育认证申请书（2023版）修订说明.pdf', '附件1：2023年接受认证申请的专业领域及专业一览表.pdf', '附件2：工程教育认证申请书（2023版）.docx']","['1625', '1518', '1320']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11408175', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11408173', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11408174']"
【教学运行】,关于2022-2023第一学期学期选课、辅修选课补退选的通知,2022-08-28,https://jwch.fzu.edu.cn/info/1036/12141.htm,,,
